,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
286,Orange,139830.0,180.0,3.0,18.0,76.0,83.0,2184.0,387.0,1546.0,251.0,7.0
287,Orange Cove,9635.0,18.0,0.0,0.0,2.0,16.0,61.0,12.0,38.0,11.0,0.0
288,Orinda,20071.0,17.0,5.0,2.0,7.0,3.0,195.0,52.0,125.0,18.0,0.0
289,Orland,7679.0,33.0,0.0,4.0,8.0,21.0,134.0,23.0,86.0,25.0,0.0
290,Oroville,19268.0,122.0,2.0,24.0,30.0,66.0,822.0,176.0,435.0,211.0,19.0
291,Oxnard,211349.0,724.0,13.0,62.0,275.0,374.0,4242.0,670.0,2987.0,585.0,48.0
292,Pacifica,38938.0,79.0,1.0,22.0,14.0,42.0,533.0,81.0,408.0,44.0,2.0
293,Pacific Grove,15605.0,14.0,0.0,1.0,1.0,12.0,169.0,27.0,136.0,6.0,0.0
294,Palmdale,157138.0,658.0,8.0,55.0,194.0,401.0,2230.0,447.0,1384.0,399.0,17.0
295,Palm Desert,53776.0,136.0,3.0,7.0,24.0,102.0,1848.0,338.0,1382.0,128.0,6.0
296,Palm Springs,48846.0,267.0,7.0,38.0,66.0,156.0,1966.0,502.0,1210.0,254.0,4.0
297,Palo Alto,66938.0,86.0,1.0,10.0,46.0,29.0,1983.0,179.0,1722.0,82.0,8.0
298,Palos Verdes Estates,13400.0,4.0,0.0,0.0,1.0,3.0,88.0,36.0,49.0,3.0,0.0
299,Paradise,26879.0,22.0,0.0,5.0,1.0,16.0,202.0,83.0,51.0,68.0,1.0
300,Paramount,54422.0,347.0,4.0,16.0,151.0,176.0,1246.0,187.0,775.0,284.0,6.0
301,Parlier,15384.0,62.0,0.0,2.0,9.0,51.0,179.0,24.0,106.0,49.0,7.0
302,Pasadena,141913.0,613.0,4.0,46.0,147.0,416.0,2866.0,570.0,2036.0,260.0,34.0
