city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Oakhurst,298576.0,299047.0,297923.0,296062.0,295827.0,296843.0,297352.0,296937.0,297200.0,298369.0,300588.0,302645.0
Oakland,672605.0,668239.0,667073.5,666482.0,665599.0,667072.0,671046.0,673805.0,674935.5,671399.5,668902.0,669856.0
Oakley,545124.0,543586.0,539542.0,538177.0,538756.0,540458.0,543666.0,547183.0,549515.0,549949.0,550310.0,553438.0
Occidental,972272.0,965382.0,958265.0,944612.0,938950.0,941284.0,947646.0,955312.0,956282.0,961582.0,959429.0,964178.0
Oceano,474783.0,475002.0,475317.0,475811.0,478747.0,479384.0,475561.0,472625.0,472133.0,474086.0,474498.0,474275.0
Oceanside,510457.0,508426.5,508207.5,511531.0,513556.0,515599.0,517422.0,518510.5,518619.0,519199.5,521863.5,524772.5
Oildale,210128.0,211253.0,212261.0,212775.0,213627.0,214611.0,215253.0,216187.0,216677.0,217370.0,218182.0,218946.0
Ojai,726949.0,727268.0,728734.0,729261.0,728471.0,724847.0,722677.0,723134.0,726661.0,730480.0,730442.0,733553.0
Old Station,176442.0,176727.0,177031.0,177912.0,179512.0,180704.0,179654.0,177823.0,176201.0,176533.0,176695.0,176723.0
Olivehurst,277243.0,278919.0,280135.0,281017.0,282325.0,284839.0,286276.0,287778.0,287709.0,289400.0,291758.0,294174.0
Ontario,429020.0,430207.0,431983.0,433306.0,435097.0,435897.0,435705.0,436600.0,437443.0,439427.0,440681.0,442129.0
Onyx,150967.5,150914.0,150194.5,149917.0,150384.5,150930.0,150480.5,150311.0,150889.0,152529.5,154735.5,156504.5
Orange,695625.0,692929.0,692809.0,692081.0,693483.0,693087.0,694475.0,695928.0,699289.0,700271.0,698692.0,696540.0
Orange Cove,179962.0,180026.0,180140.0,180141.0,180994.0,182508.0,184886.0,186894.0,187554.0,188282.0,188625.0,189530.0
Orangevale,388874.0,388983.0,388653.0,390339.0,392279.0,393854.0,393924.0,394318.0,395824.0,398062.0,401707.0,404795.0
Oregon House,305980.0,305593.0,305987.0,305973.0,308003.0,310248.0,310280.0,309168.0,306524.0,307746.0,308613.0,309340.0
Orinda,2081743.0,2064736.0,2046368.0,2031513.0,2025221.0,2022923.0,2026673.0,2030396.0,2028947.0,2034027.0,2044634.0,2061195.0
Orosi,180183.0,180004.0,180177.0,181074.0,182384.0,183098.0,182731.0,183412.0,184911.0,187525.0,188097.0,188385.0
Oroville,222469.5,229189.5,234357.0,237954.0,240451.5,243275.0,247360.5,250865.5,253408.0,253985.0,255384.0,255451.0
Oxnard,514238.0,514893.5,515967.5,517862.0,519488.5,519338.0,519394.0,520013.0,521985.5,524541.5,525647.0,529144.0
Pacific Grove,979381.0,981454.0,981387.0,978378.0,972265.0,972753.0,965961.0,961432.0,954036.0,957193.0,960222.0,962430.0
Pacifica,1097813.0,1091063.0,1089905.0,1095557.0,1101233.0,1101612.0,1100618.0,1095545.0,1095775.0,1088440.0,1087178.0,1088138.0
Pala,716972.0,714656.0,712077.0,712088.0,710041.0,711655.0,716473.0,720250.0,721944.0,721185.0,724112.0,725781.0
Palermo,186174.0,194138.0,201832.0,206719.0,210365.0,213434.0,218794.0,222154.0,224965.0,225380.0,227582.0,226923.0
Palm Desert,357018.0,358538.5,360839.0,362361.0,363086.0,363979.0,366200.5,368233.5,369598.5,370445.0,369853.0,370915.0
Palm Springs,400838.5,403036.5,405463.0,406803.0,407290.5,408208.5,413313.0,418253.5,422118.0,420702.0,418017.5,417452.5
Palmdale,301616.0,301443.0,301451.0,301844.5,302919.0,304463.0,304820.5,305670.0,306884.0,308827.0,310080.0,311503.0
Palo Alto,3468523.0,3420230.0,3384180.0,3381618.0,3369313.0,3346236.0,3311054.0,3289108.0,3301723.0,3320134.0,3340970.0,3363877.0
Palo Cedro,415238.0,416686.0,416371.0,417222.0,420716.0,426937.0,428431.0,426717.0,424340.0,424982.0,425188.0,425677.0
Palomar Mountain,332410.0,325413.0,321773.0,319101.0,315545.0,312640.0,313197.0,317297.0,317344.0,314688.0,312746.0,317343.0
Paradise,264523.0,270306.0,275847.0,281341.0,285601.0,287125.0,289195.0,288444.0,286716.0,283523.0,283955.0,284807.0
Paramount,429338.0,428162.0,427676.0,428321.0,429779.0,432226.0,432091.0,432702.0,433875.0,437243.0,439848.0,443037.0
Parlier,186999.0,188436.0,190894.0,193123.0,193730.0,194697.0,196322.0,198746.0,199385.0,200232.0,200682.0,201359.0
Pasadena,829218.0,825172.5,823181.5,823458.0,824468.0,826678.5,821653.0,821567.5,822427.5,829435.0,833215.0,837920.5
Paso Robles,461462.0,461783.0,463090.0,465185.0,467736.0,467568.5,466594.5,467548.5,469393.0,471019.5,471121.5,472065.5
Patterson,370185.0,371095.0,370667.0,373646.0,374870.0,376574.0,374785.0,374308.0,373196.0,375395.0,376615.0,378681.0
Pauma Valley,552816.0,550791.0,550375.0,550229.0,551466.0,554788.0,561822.0,566352.0,567026.0,563246.0,562952.0,563425.0
Paynes Creek,109881.0,110743.0,110410.0,110537.0,110714.0,111571.0,111716.0,111120.0,109237.0,108853.0,109704.0,112536.0
Pearblossom,278317.0,279225.0,280034.0,281122.0,282703.0,284439.0,282955.0,281345.0,279903.0,280648.0,281518.0,282646.0
Penn Valley,404503.0,403806.0,404598.0,410034.0,411286.0,410204.0,405276.0,402375.0,399421.0,397758.0,398394.0,400718.0
Penngrove,969693.0,963240.0,963899.0,963540.0,973629.0,979957.0,987924.0,989498.0,984999.0,980927.0,967718.0,964542.0
Penryn,608489.0,613606.0,615434.0,618777.0,622906.0,624548.0,618925.0,614775.0,613763.0,616666.0,618258.0,621242.0
Perris,341174.0,342707.0,345078.0,346784.0,347969.0,348761.0,350616.0,351512.0,351994.0,352387.0,352759.0,354760.0
Pescadero,1306964.0,1311266.0,1301169.0,1288244.0,1247195.0,1231022.0,1259031.0,1302685.0,1333242.0,1302644.0,1269139.0,1250031.0
Petaluma,757786.5,751730.0,748151.5,746821.0,750724.0,756462.5,758819.0,758124.5,754643.0,752805.0,746786.5,744448.0
Phelan,282294.0,283754.0,284509.0,284539.0,285210.0,285955.0,286380.0,286753.0,286693.0,287333.0,288238.0,289744.0
Pico Rivera,490134.0,488347.0,486908.0,486502.0,487395.0,488635.0,487434.0,487247.0,488776.0,492970.0,496295.0,499866.0
Piedmont,1328312.0,1323109.0,1322646.0,1321862.0,1318888.0,1320985.0,1334348.0,1347110.0,1358187.0,1353836.0,1344401.0,1342647.0
Pilot Hill,487414.0,490478.0,490431.0,487529.0,485915.0,483896.0,485223.0,484989.0,485867.0,484833.0,482513.0,480530.0
Pine Mountain Club,255173.0,258137.0,260175.0,261000.0,262185.0,263172.0,262884.0,262676.0,262943.0,263241.0,263536.0,262951.0
Pinon Hills,287187.0,288592.0,288930.0,289186.0,289442.0,289985.0,290419.0,291590.0,291976.0,293101.0,294289.0,296328.0
Pismo Beach,888687.0,885287.0,887658.0,890262.0,896810.0,893839.0,878137.0,875304.0,877737.0,889223.0,889312.0,887785.0
Pittsburg,589462.0,586794.0,581009.0,573982.0,571342.0,569497.0,572783.0,575204.0,579866.0,580378.0,582957.0,586777.0
Pixley,151598.0,151511.0,151736.0,151953.0,152857.0,153225.0,151899.0,150263.0,149700.0,151573.0,152675.0,153483.0
Placentia,698284.0,695955.0,695706.0,695320.0,696427.0,696109.0,697326.0,699453.0,704429.0,707501.0,708089.0,707205.0
Placerville,398569.0,401028.0,401305.0,398237.0,396629.0,394843.0,395194.0,395277.0,394418.0,393788.0,391766.0,390778.0
Planada,177903.0,179271.0,179595.0,181138.0,181341.0,184503.0,185950.0,189273.0,192114.0,194953.0,195462.0,194832.0
Pleasant Grove,683343.0,685174.0,683982.0,684033.0,677365.0,653969.0,612861.0,562931.0,531527.0,516475.0,515962.0,514820.0
Pleasant Hill,783395.0,781097.0,775279.0,770033.0,768076.0,766338.0,763224.0,757040.0,751477.0,751679.0,755264.0,759246.0
Pleasanton,1182741.5,1175936.5,1175095.0,1173718.5,1168427.5,1162468.0,1160050.0,1155701.5,1153125.0,1146817.5,1143056.5,1144781.0
Point Reyes Station,1036186.0,1032811.5,1026669.5,1016230.5,1022947.0,1044077.0,1061744.5,1065770.5,1055835.0,1067342.5,1077511.0,1094218.5
Pollock Pines,309736.0,312745.0,314238.0,311682.0,309799.0,307317.0,306475.0,305639.0,305070.0,304939.0,304152.0,303794.0
Pomona,441417.0,440646.0,439971.0,440638.0,442258.0,444937.0,445113.0,445747.0,447267.0,450598.0,453787.0,457239.0
Pope Valley,405269.0,406788.0,403218.0,389420.0,380624.0,376897.0,377168.0,374929.0,374621.0,376301.0,377723.0,377707.0
Port Hueneme,408150.0,408092.0,408246.0,409172.0,409561.0,408422.0,407688.0,408196.0,410251.0,412694.0,413681.0,416321.0
Porterville,202189.0,201823.0,201459.0,202041.0,203384.0,204328.0,203767.0,203904.0,204503.0,206580.0,206495.0,206683.0
Portola Valley,3811882.0,3789064.0,3780689.0,3765765.0,3745250.0,3716431.0,3724103.0,3732083.0,3772458.0,3770706.0,3769079.0,3756493.0
Potter Valley,301551.0,301091.0,299855.0,300265.0,305374.0,315459.0,331395.0,345192.0,353315.0,355115.0,352217.0,348712.0
Poway,726308.0,723833.0,724359.0,728596.0,730711.0,732845.0,735574.0,737487.0,737134.0,737519.0,739200.0,741391.0
Prather,400283.0,401075.0,405508.0,406946.0,406550.0,405764.0,408009.0,410615.0,410028.0,408195.0,405874.0,404461.0
Ramona,526179.0,523214.0,522449.0,524578.0,525272.0,525435.0,526146.0,526384.0,525472.0,525064.0,527076.0,530791.0
Ranchita,318781.0,318182.0,313843.0,314510.0,315630.0,322189.0,325207.0,327333.0,325064.0,321876.0,318854.0,317806.0
Rancho Cordova,343491.0,343378.0,343153.0,344751.0,346797.0,348261.0,348597.0,348042.0,348683.0,349769.0,353503.0,356967.0
Rancho Cucamonga,593297.5,593680.0,595346.5,596384.0,598023.5,598061.0,596644.0,596854.5,597492.0,600688.5,603233.5,605736.5
Rancho Mirage,517480.0,518309.0,520775.0,521988.0,522760.0,523875.0,527530.0,530541.0,531708.0,532056.0,531125.0,532712.0
Rancho Santa Fe,2356388.0,2343308.0,2337292.5,2349493.5,2352302.5,2355953.0,2365452.0,2378165.0,2387979.5,2393209.5,2400196.0,2408200.5
Rancho Santa Margarita,718266.5,715988.0,715214.0,714675.0,715292.0,713848.0,713359.5,713663.5,717584.0,720546.0,720807.0,719704.5
Raymond,322334.0,322763.0,322740.0,323012.0,325794.0,327691.0,328407.0,328502.0,328903.0,332150.0,335490.0,340207.0
Red Bluff,242097.0,242774.0,244041.0,246488.0,248760.0,250418.0,251229.0,252289.0,254223.0,256609.0,259029.0,261178.0
Redding,274912.0,276390.0,277003.0,278437.0,281348.0,284743.0,286069.0,286141.0,287117.0,287152.0,286954.0,286589.0
Redlands,429388.0,428339.5,428394.0,428854.5,430418.5,430988.5,431227.0,433337.5,435738.0,438494.0,439358.5,440008.5
Redondo Beach,1153694.0,1148990.0,1144354.5,1142187.5,1141418.0,1143552.5,1136585.0,1136940.5,1137851.0,1147609.5,1152160.5,1159340.5
Redway,391593.0,389244.5,383557.0,384124.0,379423.0,378280.5,374317.5,369978.0,366357.5,364910.5,366293.5,367111.0
Redwood City,1613119.0,1598655.0,1587054.0,1579915.0,1573311.0,1569595.0,1569906.0,1565404.0,1565511.0,1556562.0,1554932.0,1553545.0
Redwood Valley,462795.0,465205.0,461603.0,456319.0,450125.0,448067.0,447177.0,446941.0,446576.0,446076.0,441583.0,437747.0
Reedley,234030.0,234821.0,236397.0,237152.0,237400.0,237473.0,238648.0,240066.0,240775.0,241546.0,241520.0,241799.0
Rescue,546692.0,550527.0,552043.0,549248.0,548661.0,547493.0,548702.0,548515.0,548001.0,547785.0,545581.0,543374.0
Rialto,373117.5,374173.0,375733.0,376767.5,378386.5,379229.5,379243.5,379998.0,380830.5,382837.5,384533.0,386455.0
