lat,lon,acq_date,month,cities
32.857353,-117.148674,11/29/2019,11,San Diego
32.857399,-117.144875,4/2/2019,4,San Diego
32.857418,-117.145393,1/24/2019,1,San Diego
32.857513,-117.149094,8/9/2019,8,San Diego
32.8576,-114.44,2/17/2019,2,Yuma
32.857746,-117.148933,7/24/2019,7,San Diego
32.858101,-117.147293,1/29/2019,1,San Diego
32.85849,-117.147346,10/1/2019,10,San Diego
32.8586,-114.4714,2/17/2019,2,Yuma
32.858803,-117.148384,3/18/2019,3,San Diego
32.859024,-115.469635,3/18/2019,3,Heber
32.8596,-114.4602,2/17/2019,2,Yuma
32.8607,-114.4324,2/17/2019,2,Yuma
32.860958,-114.45417,2/17/2019,2,Yuma
32.86124,-114.459282,2/17/2019,2,Yuma
32.8615,-114.4565,2/19/2019,2,Yuma
32.863686,-116.418297,4/1/2019,4,Pine Valley
32.863953,-116.414581,4/1/2019,4,Pine Valley
32.864407,-114.458832,2/17/2019,2,Yuma
32.866917,-114.453636,2/17/2019,2,Yuma
32.8672,-114.4652,2/17/2019,2,Yuma
32.867207,-115.61274,8/17/2019,8,Imperial
32.867207,-114.458778,2/17/2019,2,Yuma
32.868481,-114.456535,2/17/2019,2,Yuma
32.869251,-115.433792,7/25/2019,7,Heber
32.8696,-114.4383,2/17/2019,2,Yuma
32.869781,-114.461342,2/17/2019,2,Yuma
32.8698,-116.4429,4/10/2019,4,Pine Valley
32.870064,-114.456673,2/17/2019,2,Yuma
32.871349,-114.461533,2/17/2019,2,Yuma
32.871361,-115.638145,11/5/2019,11,Imperial
32.871494,-115.639786,11/5/2019,11,Imperial
32.8716,-114.4586,2/17/2019,2,Yuma
32.871643,-115.631783,11/5/2019,11,Imperial
32.871742,-115.633423,11/5/2019,11,Imperial
32.872723,-115.616333,8/17/2019,8,Imperial
32.874176,-114.454536,2/17/2019,2,Yuma
32.875256,-116.882324,9/25/2019,9,Lakeside
32.875687,-115.593224,4/24/2019,4,Imperial
32.875755,-115.317551,8/1/2019,8,Holtville
32.876083,-115.592453,4/25/2019,4,Imperial
32.876163,-115.678993,11/18/2019,11,Imperial
32.876694,-115.313759,8/1/2019,8,Holtville
32.8773,-114.4524,2/17/2019,2,Yuma
32.878494,-116.43396,3/18/2019,3,Pine Valley
32.879673,-116.437309,4/10/2019,4,Pine Valley
32.880905,-115.319328,8/1/2019,8,Holtville
32.8814,-116.4443,4/10/2019,4,Pine Valley
32.8989,-115.6161,1/23/2019,1,Imperial
32.899036,-115.547295,2/24/2019,2,Imperial
32.899517,-115.42382,7/4/2019,7,Brawley
32.900185,-115.319603,9/3/2019,9,Holtville
32.902534,-115.32206,9/3/2019,9,Holtville
32.904575,-115.315147,9/3/2019,9,Holtville
32.9066,-115.5828,1/23/2019,1,Imperial
32.906654,-115.32225,9/3/2019,9,Holtville
32.906731,-115.580772,1/24/2019,1,Imperial
32.907288,-115.460663,10/26/2019,10,Brawley
32.908657,-115.315315,9/3/2019,9,Holtville
32.9143,-116.5709,10/6/2019,10,Descanso
32.920891,-115.365379,7/29/2019,7,Brawley
32.924862,-115.547745,10/25/2019,10,Imperial
32.925552,-115.549423,10/24/2019,10,Imperial
32.9265,-115.5479,10/24/2019,10,Imperial
32.927753,-115.54425,10/25/2019,10,Imperial
32.928673,-115.548866,10/25/2019,10,Imperial
32.932049,-115.385612,1/13/2019,1,Brawley
32.93264,-115.381332,1/13/2019,1,Brawley
32.9344,-115.472,1/24/2019,1,Brawley
32.9358,-115.4613,1/24/2019,1,Brawley
32.93792,-115.465042,1/24/2019,1,Brawley
32.940598,-115.469826,1/24/2019,1,Brawley
32.94138,-115.476151,1/23/2019,1,Brawley
32.941753,-117.09436,7/16/2019,7,San Diego
32.945198,-115.476738,1/23/2019,1,Brawley
32.946934,-117.09552,7/16/2019,7,San Diego
32.9504,-116.5934,12/19/2019,12,Descanso
32.952221,-116.591751,1/30/2019,1,Descanso
32.952374,-116.592598,1/29/2019,1,Descanso
32.952496,-116.591179,1/30/2019,1,Descanso
32.9528,-116.6078,1/29/2019,1,Descanso
32.95298,-116.588448,1/29/2019,1,Descanso
32.953114,-116.593582,12/19/2019,12,Descanso
32.9544,-116.5925,1/29/2019,1,Descanso
32.955105,-116.587807,12/20/2019,12,Descanso
32.955669,-116.593269,1/29/2019,1,Descanso
32.955795,-116.591995,12/20/2019,12,Descanso
32.956284,-116.589142,1/29/2019,1,Descanso
32.956486,-116.596191,12/20/2019,12,Descanso
32.957321,-115.323921,9/10/2019,9,Brawley
32.95739,-116.593857,12/19/2019,12,Descanso
32.959091,-116.591164,12/20/2019,12,Descanso
32.98135,-115.323891,5/8/2019,5,Brawley
32.982582,-115.319221,5/8/2019,5,Brawley
32.983807,-115.314537,5/8/2019,5,Brawley
32.988167,-115.321243,5/8/2019,5,Brawley
32.993092,-115.553032,1/25/2019,1,Brawley
33.000408,-115.410721,1/26/2019,1,Brawley
33.001827,-115.418541,2/18/2019,2,Brawley
33.002323,-115.41301,2/18/2019,2,Brawley
33.019547,-116.085526,5/9/2019,5,Borrego Springs
33.019733,-116.859344,2/25/2019,2,Ramona
33.019787,-116.861969,10/18/2019,10,Ramona
33.021004,-115.333778,2/6/2019,2,Brawley
33.021004,-115.332512,2/6/2019,2,Brawley
33.0232,-115.3318,2/7/2019,2,Brawley
33.0251,-115.3361,2/18/2019,2,Brawley
33.026138,-115.335533,2/6/2019,2,Brawley
33.027336,-115.337456,2/7/2019,2,Brawley
33.027592,-115.33403,2/7/2019,2,Brawley
33.027626,-115.33287,2/6/2019,2,Brawley
33.0381,-115.6265,10/25/2019,10,Calipatria
33.048729,-115.398941,11/2/2019,11,Brawley
33.0492,-115.3343,3/13/2019,3,Brawley
33.051674,-115.404335,11/2/2019,11,Brawley
33.052277,-115.399567,11/2/2019,11,Brawley
33.0526,-116.7472,10/25/2019,10,Ramona
33.052624,-116.742874,10/25/2019,10,Ramona
33.0527,-115.5898,8/12/2019,8,Calipatria
33.0582,-115.336,3/13/2019,3,Brawley
33.0765,-115.3883,2/7/2019,2,Brawley
33.0802,-115.4408,1/23/2019,1,Brawley
33.0819,-115.4374,1/23/2019,1,Brawley
33.082863,-115.750412,8/1/2019,8,Calipatria
33.084084,-115.751175,8/9/2019,8,Calipatria
33.085373,-115.751213,8/8/2019,8,Calipatria
