,city,population,violentcrime,murder,rape,robbery,aggassault,propertycrime,burglary,theft,vehicletheft,arson,firecount,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly median
142,Banning,31450,136,2,16,27,91,532,179,210,143,0,1,261985.0,263258.0,264409.0,265053.0,264803.0,264886.0,265487.0,266078.0,265801.0,265248.0,263908.0,264613.0,264844.5
143,Marysville,12572,116,2,20,23,71,541,81,324,136,9,81,249826.0,251039.0,252135.0,253140.0,254346.0,256956.0,258424.0,259796.0,259473.0,260971.0,263252.0,265887.0,257690.0
144,Rancho Cucamonga,179247,500,4,39,108,349,3456,590,2560,306,13,363,593297.5,593680.0,595346.5,596384.0,598023.5,598061.0,596644.0,596854.5,597492.0,600688.5,603233.5,605736.5,597173.25
145,Avenal,12991,69,0,7,3,59,58,26,28,4,0,11,135070.0,136691.0,136547.0,137047.0,138578.0,139761.0,139460.0,136874.0,135682.0,135835.0,137002.0,139060.0,136938.0
146,Hercules,25789,31,0,5,15,11,341,31,278,32,0,81,731229.0,727262.0,726088.0,724374.0,725399.0,725386.0,724888.0,721163.0,721321.0,727226.0,739442.0,747798.0,725743.5
147,Visalia,134961,586,4,111,159,312,3900,747,2627,526,20,32,237140.0,236557.0,235662.0,235952.0,236889.0,237146.0,235748.0,234933.0,235299.0,237239.0,237462.0,237683.0,236723.0
148,West Sacramento,54372,212,1,34,79,98,1603,236,1158,209,26,1,351655.0,350106.5,352174.0,355999.0,358537.0,358392.0,358146.0,358896.0,358730.0,355660.5,352493.0,352038.5,355829.75
149,Merced,83854,540,5,34,103,398,2342,396,1439,507,70,64,270468.0,269893.0,269216.0,270384.5,271338.5,271929.5,271036.0,270442.5,269465.5,269336.0,269156.5,269590.0,270138.75
150,Paso Robles,32528,53,0,9,13,31,646,78,523,45,3,11,461462.0,461783.0,463090.0,465185.0,467736.0,467568.5,466594.5,467548.5,469393.0,471019.5,471121.5,472065.5,467558.5
151,El Segundo,16727,82,0,5,30,47,625,164,387,74,1,38,1367695.0,1361569.0,1356282.0,1354580.0,1352244.0,1351841.0,1332465.0,1322334.0,1318916.0,1330598.0,1337783.0,1346766.0,1349303.5
152,Fowler,6904,29,1,2,5,21,104,42,43,19,0,24,278495.0,279654.0,281230.0,281917.0,281521.0,281599.0,282672.0,284283.0,284561.0,285114.0,285887.0,286979.0,282294.5
153,Calexico,40327,94,0,3,21,70,894,244,470,180,56,25,219538.0,218867.0,219021.0,221001.0,222863.0,224557.0,225667.0,226094.0,224178.0,222799.0,222522.0,224996.0,222831.0
154,Santee,58701,98,0,8,29,61,806,74,659,73,7,3,494961.0,492194.0,491654.0,494475.0,496644.0,498788.0,500766.0,501790.0,501530.0,501690.0,504507.0,508188.0,499777.0
155,Roseville,141744,259,4,32,96,127,3154,389,2518,247,19,4,487887.0,489393.0,489465.0,490591.0,492055.0,492257.0,490965.0,490302.0,491821.0,493016.0,495078.0,498388.0,491393.0
156,Dos Palos,5594,64,0,0,2,62,169,36,89,44,3,6,224738.0,225371.0,225843.0,227388.0,227809.0,228051.0,228292.0,228849.0,229070.0,229174.0,230443.0,231403.0,228171.5
157,Fairfield,118383,442,5,48,162,227,3782,359,2780,643,23,11,470099.0,468076.0,467930.5,470252.5,471751.5,472001.0,473350.0,474746.5,476359.0,477669.0,476721.0,474423.5,472675.5
158,Moraga,17908,23,0,1,3,19,124,36,79,9,3,4,1379835.0,1369067.0,1354497.0,1345588.0,1344855.0,1346547.0,1331417.0,1314379.0,1296432.0,1302056.0,1311351.0,1320129.0,1338136.0
159,Willits,4937,16,0,2,6,8,92,28,51,13,2,2,310824.0,312474.0,310448.0,307426.0,304065.0,303802.0,303412.0,302524.0,300954.0,299821.0,296632.0,294611.0,303607.0
160,Greenfield,17809,54,1,9,9,35,165,31,98,36,12,9,347929.0,350563.0,353298.0,354961.0,355843.0,356514.0,357860.0,358508.0,359482.0,360230.0,360757.0,360802.0,357187.0
161,Sonoma,11323,38,0,6,1,31,122,21,95,6,1,3,704905.5,698912.5,698000.0,697691.0,703331.0,708545.5,713418.0,717359.5,718255.5,719347.5,714335.5,711305.5,709925.5
162,Palo Alto,66938,86,1,10,46,29,1983,179,1722,82,8,1,3468523.0,3420230.0,3384180.0,3381618.0,3369313.0,3346236.0,3311054.0,3289108.0,3301723.0,3320134.0,3340970.0,3363877.0,3355056.5
163,Vacaville,101147,331,3,47,80,201,2442,162,2120,160,8,13,471145.5,468947.0,468743.5,470863.5,472123.5,472627.0,474361.0,476158.0,477807.5,478962.0,477661.5,475488.0,473494.0
164,Galt,26796,77,0,10,15,52,449,71,340,38,7,18,372986.0,373370.0,373455.0,375366.0,377338.0,379123.0,378920.0,377919.0,378277.0,379586.0,382981.0,385773.0,378098.0
165,Manteca,83523,199,3,27,66,103,1848,239,1327,282,18,188,412566.0,411857.5,414823.5,415462.0,416940.5,417196.5,417105.5,417169.0,416448.0,416751.0,417259.0,419382.0,416845.75
166,Brentwood,65483,166,0,16,67,83,1335,142,1095,98,11,5,645933.0,641007.0,635299.0,633561.0,634479.0,634301.0,634157.0,634699.0,636722.0,639549.0,642694.0,646729.0,636010.5
167,Paramount,54422,347,4,16,151,176,1246,187,775,284,6,1,429338.0,428162.0,427676.0,428321.0,429779.0,432226.0,432091.0,432702.0,433875.0,437243.0,439848.0,443037.0,432158.5
168,Moorpark,36826,26,0,7,7,12,228,34,183,11,0,23,659270.0,658686.0,658861.0,659816.0,660375.0,658692.0,657495.0,657940.0,659945.0,662340.0,662804.0,666263.0,659543.0
169,El Centro,44303,143,3,9,41,90,1184,228,861,95,7,61,219396.0,219013.0,219012.0,220323.0,220923.0,222052.0,222358.0,222095.0,218926.0,217809.0,217870.0,220861.0,219859.5
